n,partition,rows,cols,time
2,row,10000,1500,0.016192
2,row,10000,2000,0.021438
2,row,10000,2500,0.027188
2,row,10000,3000,0.034025
2,row,10000,3500,0.036849
2,row,10000,4000,0.042952
2,row,10000,4500,0.045874
2,row,10000,5000,0.049331
2,column,500,1000,0.000533
2,column,500,2000,0.001034
2,column,500,3000,0.001718
2,column,500,4000,0.002281
2,column,500,5000,0.002957
2,column,500,6000,0.003519
2,column,500,7000,0.003916
2,column,500,8000,0.004595
2,column,500,9000,0.004663
2,column,500,10000,0.005486
2,column,1000,1000,0.001355
2,column,1000,2000,0.002323
2,column,1000,3000,0.003291
2,column,1000,4000,0.004511
2,column,1000,5000,0.005778
2,column,1000,6000,0.006865
2,column,1000,7000,0.007635
2,column,1000,8000,0.009645
2,column,1000,9000,0.010046
2,column,1000,10000,0.011037
2,column,1500,1000,0.001859
2,column,1500,2000,0.003192
2,column,1500,3000,0.005578
2,column,1500,4000,0.006849
2,column,1500,5000,0.008298
2,column,1500,6000,0.010303
2,column,1500,7000,0.012076
2,column,1500,8000,0.013486
2,column,1500,9000,0.015580
2,column,1500,10000,0.017125
2,column,2000,1000,0.002603
2,column,2000,2000,0.004757
2,column,2000,3000,0.007691
2,column,2000,4000,0.009016
2,column,2000,5000,0.011255
2,column,2000,6000,0.013484
2,column,2000,7000,0.016391
2,column,2000,8000,0.018342
2,column,2000,9000,0.019595
2,column,2000,10000,0.023173
2,column,2500,1000,0.003709
2,column,2500,2000,0.005764
2,column,2500,3000,0.008648
2,column,2500,4000,0.011974
2,column,2500,5000,0.014449
2,column,2500,6000,0.017349
2,column,2500,7000,0.020615
2,column,2500,8000,0.021427
2,column,2500,9000,0.024428
2,column,2500,10000,0.027938
2,column,3000,1000,0.003304
2,column,3000,2000,0.007863
2,column,3000,3000,0.011886
2,column,3000,4000,0.013797
2,column,3000,5000,0.017182
2,column,3000,6000,0.020722
2,column,3000,7000,0.023831
2,column,3000,8000,0.028379
2,column,3000,9000,0.031129
2,column,3000,10000,0.035723
2,column,3500,1000,0.004381
2,column,3500,2000,0.007448
2,column,3500,3000,0.012647
2,column,3500,4000,0.018661
2,column,3500,5000,0.020398
2,column,3500,6000,0.023534
2,column,3500,7000,0.029577
2,column,3500,8000,0.032413
2,column,3500,9000,0.037497
2,column,3500,10000,0.040234
2,column,4000,1000,0.004902
2,column,4000,2000,0.010988
2,column,4000,3000,0.014000
2,column,4000,4000,0.017861
2,column,4000,5000,0.022318
2,column,4000,6000,0.027620
2,column,4000,7000,0.032937
2,column,4000,8000,0.034509
2,column,4000,9000,0.045012
2,column,4000,10000,0.049291
2,column,4500,1000,0.006657
2,column,4500,2000,0.011611
2,column,4500,3000,0.015052
2,column,4500,4000,0.020180
2,column,4500,5000,0.024996
2,column,4500,6000,0.029899
2,column,4500,7000,0.035755
2,column,4500,8000,0.039548
2,column,4500,9000,0.047585
2,column,4500,10000,0.053759
2,column,5000,1000,0.005663
2,column,5000,2000,0.010858
2,column,5000,3000,0.017563
2,column,5000,4000,0.021709
2,column,5000,5000,0.028376
2,column,5000,6000,0.035403
2,column,5000,7000,0.041651
2,column,5000,8000,0.048748
2,column,5000,9000,0.054035
2,column,5000,10000,0.055081
2,block,1000,500,0.000270
2,block,1000,1000,0.000587
2,block,1000,1500,0.001144
2,block,1000,2000,0.001074
2,block,1000,2500,0.001408
2,block,1000,3000,0.001717
2,block,1000,3500,0.002039
2,block,1000,4000,0.002229
2,block,1000,4500,0.002498
2,block,1000,5000,0.002577
2,block,2000,500,0.000783
2,block,2000,1000,0.001304
2,block,2000,1500,0.001656
2,block,2000,2000,0.002145
2,block,2000,2500,0.002724
2,block,2000,3000,0.003551
2,block,2000,3500,0.004094
2,block,2000,4000,0.005163
2,block,2000,4500,0.004995
2,block,2000,5000,0.005504
2,block,3000,500,0.001057
2,block,3000,1000,0.002022
2,block,3000,1500,0.003803
2,block,3000,2000,0.003557
2,block,3000,2500,0.004113
2,block,3000,3000,0.005581
2,block,3000,3500,0.005969
2,block,3000,4000,0.007453
2,block,3000,4500,0.007426
2,block,3000,5000,0.009154
2,block,4000,500,0.001307
2,block,4000,1000,0.002768
2,block,4000,1500,0.003877
2,block,4000,2000,0.004570
2,block,4000,2500,0.005699
2,block,4000,3000,0.006801
2,block,4000,3500,0.008163
2,block,4000,4000,0.008993
2,block,4000,4500,0.010527
2,block,4000,5000,0.019378
2,block,5000,500,0.001450
2,block,5000,1000,0.003583
2,block,5000,1500,0.004559
2,block,5000,2000,0.007763
2,block,5000,2500,0.007679
2,block,5000,3000,0.008736
2,block,5000,3500,0.010083
2,block,5000,4000,0.011574
2,block,5000,4500,0.012724
2,block,5000,5000,0.015016
2,block,6000,500,0.001970
2,block,6000,1000,0.003755
2,block,6000,1500,0.005474
2,block,6000,2000,0.006940
2,block,6000,2500,0.008689
2,block,6000,3000,0.010502
2,block,6000,3500,0.011775
2,block,6000,4000,0.013522
2,block,6000,4500,0.015381
2,block,6000,5000,0.022506
2,block,7000,500,0.002921
2,block,7000,1000,0.004471
2,block,7000,1500,0.006406
2,block,7000,2000,0.007727
2,block,7000,2500,0.013190
2,block,7000,3000,0.016065
2,block,7000,3500,0.012662
2,block,7000,4000,0.016525
2,block,7000,4500,0.017343
2,block,7000,5000,0.019350
2,block,8000,500,0.002276
2,block,8000,1000,0.005031
2,block,8000,1500,0.007410
2,block,8000,2000,0.010075
2,block,8000,2500,0.011053
2,block,8000,3000,0.013281
2,block,8000,3500,0.016239
2,block,8000,4000,0.020525
2,block,8000,4500,0.023267
2,block,8000,5000,0.021473
2,block,9000,500,0.002959
2,block,9000,1000,0.005472
2,block,9000,1500,0.008557
2,block,9000,2000,0.011347
2,block,9000,2500,0.013651
2,block,9000,3000,0.016059
2,block,9000,3500,0.017378
2,block,9000,4000,0.021613
2,block,9000,4500,0.026757
2,block,9000,5000,0.026158
2,block,10000,500,0.003448
2,block,10000,1000,0.006365
2,block,10000,1500,0.009221
2,block,10000,2000,0.010997
2,block,10000,2500,0.016114
2,block,10000,3000,0.017393
2,block,10000,3500,0.021643
2,block,10000,4000,0.023798
2,block,10000,4500,0.024822
2,block,10000,5000,0.028408
