n,partition,rows,cols,time
2,row,1000,500,0.000508
2,row,1000,1000,0.001085
2,row,1000,1500,0.001606
2,row,1000,2000,0.002170
2,row,1000,2500,0.002692
2,row,1000,3000,0.003372
2,row,1000,3500,0.003759
2,row,1000,4000,0.004215
2,row,1000,4500,0.004793
2,row,1000,5000,0.005746
2,row,2000,500,0.000930
2,row,2000,1000,0.002278
2,row,2000,1500,0.003163
2,row,2000,2000,0.004726
2,row,2000,2500,0.005548
2,row,2000,3000,0.006467
2,row,2000,3500,0.007330
2,row,2000,4000,0.008461
2,row,2000,4500,0.009470
2,row,2000,5000,0.010859
2,row,3000,500,0.001624
2,row,3000,1000,0.003351
2,row,3000,1500,0.004838
2,row,3000,2000,0.006596
2,row,3000,2500,0.008005
2,row,3000,3000,0.009666
2,row,3000,3500,0.011694
2,row,3000,4000,0.012519
2,row,3000,4500,0.014949
2,row,3000,5000,0.017828
2,row,4000,500,0.002038
2,row,4000,1000,0.004177
2,row,4000,1500,0.007422
2,row,4000,2000,0.008576
2,row,4000,2500,0.010930
2,row,4000,3000,0.012997
2,row,4000,3500,0.015795
2,row,4000,4000,0.016589
2,row,4000,4500,0.019159
2,row,4000,5000,0.021497
2,row,5000,500,0.002689
2,row,5000,1000,0.005514
2,row,5000,1500,0.008291
2,row,5000,2000,0.010782
2,row,5000,2500,0.013452
2,row,5000,3000,0.016193
2,row,5000,3500,0.019878
2,row,5000,4000,0.020760
2,row,5000,4500,0.023754
2,row,5000,5000,0.024820
2,row,6000,500,0.002972
2,row,6000,1000,0.006291
2,row,6000,1500,0.010000
2,row,6000,2000,0.013425
2,row,6000,2500,0.016339
2,row,6000,3000,0.019213
2,row,6000,3500,0.022385
2,row,6000,4000,0.025100
2,row,6000,4500,0.028922
2,row,6000,5000,0.031976
2,row,7000,500,0.003422
2,row,7000,1000,0.007579
2,row,7000,1500,0.011499
2,row,7000,2000,0.015839
2,row,7000,2500,0.019069
2,row,7000,3000,0.026283
2,row,7000,3500,0.026067
2,row,7000,4000,0.029476
2,row,7000,4500,0.033655
2,row,7000,5000,0.046851
2,row,8000,500,0.005859
2,row,8000,1000,0.008922
2,row,8000,1500,0.013061
2,row,8000,2000,0.017741
2,row,8000,2500,0.021565
2,row,8000,3000,0.025779
2,row,8000,3500,0.030150
2,row,8000,4000,0.039415
2,row,8000,4500,0.036948
2,row,8000,5000,0.042529
2,row,9000,500,0.004909
2,row,9000,1000,0.009815
2,row,9000,1500,0.014518
2,row,9000,2000,0.019148
2,row,9000,2500,0.024768
2,row,9000,3000,0.029357
2,row,9000,3500,0.033300
2,row,9000,4000,0.037979
2,row,9000,4500,0.042889
2,row,9000,5000,0.048245
2,row,10000,500,0.005285
2,row,10000,1000,0.011308
