n,partition,rows,cols,time
1,column,4500,8000,0.080164
1,column,4500,9000,0.091894
1,column,4500,10000,0.095432
1,column,5000,1000,0.011155
1,column,5000,2000,0.021190
1,column,5000,3000,0.034666
1,column,5000,4000,0.044306
1,column,5000,5000,0.057048
1,column,5000,6000,0.063540
1,column,5000,7000,0.078909
1,column,5000,8000,0.090946
1,column,5000,9000,0.099662
1,column,5000,10000,0.109582
1,block,1000,500,0.001105
1,block,1000,1000,0.002032
1,block,1000,1500,0.003778
1,block,1000,2000,0.004098
1,block,1000,2500,0.005483
1,block,1000,3000,0.005657
1,block,1000,3500,0.007700
1,block,1000,4000,0.009341
1,block,1000,4500,0.010615
1,block,1000,5000,0.011350
1,block,2000,500,0.002170
1,block,2000,1000,0.004030
1,block,2000,1500,0.006362
1,block,2000,2000,0.008593
1,block,2000,2500,0.010289
1,block,2000,3000,0.020172
1,block,2000,3500,0.014793
1,block,2000,4000,0.017124
1,block,2000,4500,0.027066
1,block,2000,5000,0.020227
1,block,3000,500,0.002827
1,block,3000,1000,0.006216
1,block,3000,1500,0.009699
1,block,3000,2000,0.013722
1,block,3000,2500,0.016276
1,block,3000,3000,0.020697
1,block,3000,3500,0.024453
1,block,3000,4000,0.026035
1,block,3000,4500,0.028701
1,block,3000,5000,0.033877
1,block,4000,500,0.004463
1,block,4000,1000,0.009262
1,block,4000,1500,0.013847
1,block,4000,2000,0.018545
1,block,4000,2500,0.023244
1,block,4000,3000,0.028504
1,block,4000,3500,0.029499
1,block,4000,4000,0.040937
1,block,4000,4500,0.043788
1,block,4000,5000,0.046855
1,block,5000,500,0.011760
1,block,5000,1000,0.010266
1,block,5000,1500,0.017011
1,block,5000,2000,0.022969
1,block,5000,2500,0.027828
1,block,5000,3000,0.035411
1,block,5000,3500,0.038326
1,block,5000,4000,0.044213
1,block,5000,4500,0.056589
1,block,5000,5000,0.084388
1,block,6000,500,0.006391
1,block,6000,1000,0.014984
1,block,6000,1500,0.020811
1,block,6000,2000,0.026673
1,block,6000,2500,0.031107
1,block,6000,3000,0.045610
1,block,6000,3500,0.051867
1,block,6000,4000,0.066128
1,block,6000,4500,0.059747
1,block,6000,5000,0.065690
1,block,7000,500,0.007364
1,block,7000,1000,0.015940
1,block,7000,1500,0.026663
1,block,7000,2000,0.029795
1,block,7000,2500,0.039290
1,block,7000,3000,0.047979
1,block,7000,3500,0.054001
1,block,7000,4000,0.061012
1,block,7000,4500,0.092949
1,block,7000,5000,0.077506
1,block,8000,500,0.008742
1,block,8000,1000,0.015990
1,block,8000,1500,0.023444
1,block,8000,2000,0.035000
1,block,8000,2500,0.044703
1,block,8000,3000,0.052046
1,block,8000,3500,0.066265
1,block,8000,4000,0.072269
1,block,8000,4500,0.077970
1,block,8000,5000,0.086389
1,block,9000,500,0.009495
1,block,9000,1000,0.017907
1,block,9000,1500,0.031390
1,block,9000,2000,0.042071
1,block,9000,2500,0.050679
1,block,9000,3000,0.060454
1,block,9000,3500,0.067419
1,block,9000,4000,0.078977
1,block,9000,4500,0.087350
1,block,9000,5000,0.097053
1,block,10000,500,0.010908
1,block,10000,1000,0.021144
1,block,10000,1500,0.032226
1,block,10000,2000,0.042765
1,block,10000,2500,0.060435
1,block,10000,3000,0.062644
1,block,10000,3500,0.079830
1,block,10000,4000,0.091269
1,block,10000,4500,0.100606
1,block,10000,5000,0.120285
