n,partition,rows,cols,time
4,column,4500,9000,0.027007
4,column,4500,10000,0.023803
4,column,5000,1000,0.003228
4,column,5000,2000,0.006704
4,column,5000,3000,0.009664
4,column,5000,4000,0.013562
4,column,5000,5000,0.022471
4,column,5000,6000,0.024394
4,column,5000,7000,0.039866
4,column,5000,8000,0.026441
4,column,5000,9000,0.032051
4,column,5000,10000,0.045563
4,block,1000,500,0.000146
4,block,1000,1000,0.000335
4,block,1000,1500,0.000465
4,block,1000,2000,0.000292
4,block,1000,2500,0.000454
4,block,1000,3000,0.000527
4,block,1000,3500,0.000879
4,block,1000,4000,0.001563
4,block,1000,4500,0.000691
4,block,1000,5000,0.000732
4,block,2000,500,0.000220
4,block,2000,1000,0.000343
4,block,2000,1500,0.000539
4,block,2000,2000,0.000846
4,block,2000,2500,0.001548
4,block,2000,3000,0.001157
4,block,2000,3500,0.001113
4,block,2000,4000,0.001116
4,block,2000,4500,0.001141
4,block,2000,5000,0.001661
4,block,3000,500,0.000335
4,block,3000,1000,0.000675
4,block,3000,1500,0.001146
4,block,3000,2000,0.001816
4,block,3000,2500,0.001061
4,block,3000,3000,0.001556
4,block,3000,3500,0.001852
4,block,3000,4000,0.001855
4,block,3000,4500,0.002063
4,block,3000,5000,0.002237
4,block,4000,500,0.000570
4,block,4000,1000,0.000847
4,block,4000,1500,0.001027
4,block,4000,2000,0.001831
4,block,4000,2500,0.002208
4,block,4000,3000,0.002572
4,block,4000,3500,0.002500
4,block,4000,4000,0.002951
4,block,4000,4500,0.005623
4,block,4000,5000,0.003049
4,block,5000,500,0.000807
4,block,5000,1000,0.001337
4,block,5000,1500,0.001303
4,block,5000,2000,0.002762
4,block,5000,2500,0.001945
4,block,5000,3000,0.002344
4,block,5000,3500,0.002612
4,block,5000,4000,0.002743
4,block,5000,4500,0.005879
4,block,5000,5000,0.004499
4,block,6000,500,0.000646
4,block,6000,1000,0.000954
4,block,6000,1500,0.001332
4,block,6000,2000,0.004144
4,block,6000,2500,0.005334
4,block,6000,3000,0.004723
4,block,6000,3500,0.005490
4,block,6000,4000,0.003826
4,block,6000,4500,0.005720
4,block,6000,5000,0.007262
4,block,7000,500,0.000723
4,block,7000,1000,0.001385
4,block,7000,1500,0.001768
4,block,7000,2000,0.003696
4,block,7000,2500,0.002829
4,block,7000,3000,0.003969
4,block,7000,3500,0.003854
4,block,7000,4000,0.004861
4,block,7000,4500,0.006173
4,block,7000,5000,0.005321
4,block,8000,500,0.000760
4,block,8000,1000,0.001586
4,block,8000,1500,0.002313
4,block,8000,2000,0.002936
4,block,8000,2500,0.003406
4,block,8000,3000,0.004315
4,block,8000,3500,0.004259
4,block,8000,4000,0.004973
4,block,8000,4500,0.005613
4,block,8000,5000,0.006122
4,block,9000,500,0.001024
4,block,9000,1000,0.001673
4,block,9000,1500,0.006631
4,block,9000,2000,0.003010
4,block,9000,2500,0.003523
4,block,9000,3000,0.009619
4,block,9000,3500,0.005062
4,block,9000,4000,0.005769
4,block,9000,4500,0.006757
4,block,9000,5000,0.007690
4,block,10000,500,0.001231
4,block,10000,1000,0.002304
4,block,10000,1500,0.002484
4,block,10000,2000,0.003273
4,block,10000,2500,0.004088
4,block,10000,3000,0.004612
4,block,10000,3500,0.005585
4,block,10000,4000,0.011343
4,block,10000,4500,0.007160
4,block,10000,5000,0.007788
