n,size,time
1,  50,0.000343
1, 100,0.002435
1, 150,0.008366
1, 200,0.018116
1, 250,0.036573
1, 300,0.063714
1, 350,0.107030
1, 400,0.158365
1, 450,0.258036
1, 500,0.347934
1, 550,0.502347
1, 600,0.592972
1, 650,0.820870
1, 700,1.016087
1, 750,1.692513
1, 800,1.513309
1, 850,1.944610
1, 900,2.014110
1, 950,2.737105
1,1000,3.798206
1,1050,6.277604
1,1100,6.612149
1,1150,9.391792
1,1200,6.378928
1,1250,14.316716
1,1300,11.893987
1,1350,17.043399
1,1400,10.485130
1,1450,20.767850
1,1500,16.992160
1,1550,27.277695
1,1600,17.818143
1,1650,32.709119
1,1700,28.015216
1,1750,40.603252
1,1800,26.735136
1,1850,47.761365
1,1900,37.686611
1,1950,56.124591
1,2000,33.996861
1,2050,58.855917
1,2100,48.872721
1,2150,72.294496
1,2200,47.754772
1,2250,90.909596
1,2300,70.480294
1,2350,99.577515
1,2400,68.598808
1,2450,119.673548
1,2500,98.571411
