n,split_type,rows,cols,time
4,block,8000,4000,0.005006
4,block,8000,4500,0.005910
4,block,8000,5000,0.006236
4,block,9000,500,0.001228
4,block,9000,1000,0.001822
4,block,9000,1500,0.004034
4,block,9000,2000,0.003135
4,block,9000,2500,0.003621
4,block,9000,3000,0.004206
4,block,9000,3500,0.008101
4,block,9000,4000,0.005726
4,block,9000,4500,0.006132
4,block,9000,5000,0.006927
4,block,10000,500,0.001151
4,block,10000,1000,0.004469
4,block,10000,1500,0.004245
4,block,10000,2000,0.004043
4,block,10000,2500,0.004032
4,block,10000,3000,0.004686
4,block,10000,3500,0.006287
4,block,10000,4000,0.005869
4,block,10000,4500,0.009089
4,block,10000,5000,0.008456
